--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"27 Nov, 2021",309,185,59.87,76.70,6.63,0.59,0.11
"26 Nov, 2021",335,165,49.25,63.88,17.22,0.42,0.07
"25 Nov, 2021",361,153,42.38,51.52,6.45,0.46,0.07
"24 Nov, 2021",290,161,55.52,71.38,6.84,0.81,0.13
"23 Nov, 2021",806,260,32.26,38.59,14.44,0.77,0.2
"22 Nov, 2021",235,169,71.91,90.21,15.01,0.53,0.09
"21 Nov, 2021",293,205,69.97,88.74,12.19,0.44,0.09
"20 Nov, 2021",278,152,54.68,69.06,6.94,0.59,0.09
"19 Nov, 2021",180,136,75.56,92.22,11.94,0.37,0.05
"18 Nov, 2021",61,43,70.49,83.61,15.12,0.23,0.01
"17 Nov, 2021",356,132,37.08,62.36,4.61,0.45,0.06
"16 Nov, 2021",520,171,32.88,65.77,6.39,0.29,0.05
"15 Nov, 2021",840,297,35.36,58.45,12.02,0.24,0.07
"14 Nov, 2021",1224,464,37.91,67.97,8.89,0.65,0.3
"13 Nov, 2021",1216,435,35.77,66.69,5.79,0.23,0.1
"12 Nov, 2021",790,245,31.01,65.95,3.39,0.29,0.07
"11 Nov, 2021",424,152,35.85,71.23,10.3,0.20,0.03
"10 Nov, 2021",492,139,28.25,58.54,9.09,0.22,0.03
"
","
"
--Country--,--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Bangladesh,"Connected TV",7,6,85.71,,0.00,0.00,0.00
Bangladesh,Tablets,85,31,36.47,,0.00,0.00,0.00
Bangladesh,Desktop,2924,559,19.12,,0.00,0.00,0.00
Bangladesh,Mobile,8895,4392,49.38,,3.53,0.46,2.03
"
","
"
"
","
"
--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Malaysia,5399,1707,31.62,52.27,2.40,1.10,1.88
"
","
"
--Date--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
"9 Nov, 2021",264,73,27.65,51.89,3.41,0.55,0.04
"8 Nov, 2021",168,69,41.07,66.67,0,0.14,0.01
"7 Nov, 2021",410,77,18.78,42.93,0,0.39,0.03
"6 Nov, 2021",108,42,38.89,83.33,0,0.48,0.02
"5 Nov, 2021",362,50,13.81,29.56,10.25,0.60,0.03
"30 Nov, 2021",126,70,55.56,68.25,14.29,0.71,0.05
"29 Nov, 2021",91,58,63.74,83.52,6.62,1.03,0.06
"28 Nov, 2021",222,79,35.59,42.79,13.98,1.52,0.12
"27 Nov, 2021",81,67,82.72,95.06,3.57,2.99,0.2
"26 Nov, 2021",56,45,80.36,100.00,9.09,1.78,0.08
"25 Nov, 2021",69,54,78.26,97.10,3.85,2.41,0.13
"24 Nov, 2021",69,52,75.36,91.30,9.56,1.35,0.07
"23 Nov, 2021",73,57,78.08,89.04,5.98,1.58,0.09
"22 Nov, 2021",150,80,53.33,62.00,11.44,2.00,0.16
"21 Nov, 2021",88,64,72.73,86.36,8.01,1.25,0.08
"20 Nov, 2021",44,36,81.82,100.00,12.46,0.83,0.03
"19 Nov, 2021",64,57,89.06,95.31,26.69,2.11,0.12
"18 Nov, 2021",43,10,23.26,32.56,10,0.00,0
"17 Nov, 2021",195,67,34.36,72.82,9.79,0.60,0.04
"16 Nov, 2021",234,65,27.78,50.00,8.21,0.92,0.06
"15 Nov, 2021",212,69,32.55,57.08,21.8,0.58,0.04
"14 Nov, 2021",146,72,49.32,91.10,3.39,1.25,0.09
"13 Nov, 2021",276,90,32.61,72.46,4.69,0.67,0.06
"12 Nov, 2021",990,141,14.24,28.18,2.98,1.28,0.18
"11 Nov, 2021",420,76,18.10,30.24,0,0.53,0.04
"10 Nov, 2021",438,87,19.86,47.49,0,0.57,0.05
"
","
"
--Country--,--Device--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
Malaysia,Tablets,36,20,55.56,,0.00,0.00,0.00
Malaysia,Desktop,3483,641,18.40,,0.00,0.06,0.04
Malaysia,Mobile,1880,1046,55.64,,3.92,1.76,1.84
"
","
"
"
","
"
--Country--,"--Ad Requests--","--Ad Impressions--","--Fill Rate--",--Coverage--,--CTR--,"--Estimated eCPM--","--Estimated Earnings--"
